,taxonomy,host-associated,unknown function,tail,DNA,transcription regulation,head and packaging,lysis,moron,integration and excision,auxiliary metabolic gene and host takeover,other,RNA and nucleotide metabolism,connector,vf_amr
3300007804_6|3300007804.a:Ga0105665_100397,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis,True,27,8,1,2,6,3,0,0,0,0,1,3,0
3300007805_16|3300007805.a:Ga0105637_100075,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__Ruminococcus_E bromii,True,37,1,0,4,8,0,2,2,2,1,0,2,0
3300007805_3|3300007805.a:Ga0105637_100150,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-65;s__CAG-65 sp3,True,57,8,9,5,5,1,3,1,3,1,9,3,0
3300007805_4|3300007805.a:Ga0105637_100026,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,82,3,9,0,1,1,1,3,1,0,9,0,0
3300007805_4|3300007805.a:Ga0105637_100101,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,103,1,5,1,2,1,2,4,2,5,5,1,0
3300007805_4|3300007805.a:Ga0105637_100192,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,20,0,2,1,1,0,0,0,0,1,2,0,0
3300007805_4|3300007805.a:Ga0105637_100386,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,11,1,0,0,0,0,0,0,0,1,0,4,0
3300007805_9|3300007805.a:Ga0105637_100316,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum,True,38,3,0,4,8,2,1,2,1,3,0,2,0
3300007805_9|3300007805.a:Ga0105637_100575,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum,True,7,0,0,1,0,0,1,0,1,1,0,0,0
3300007825_2|3300007825.a:Ga0105914_100001,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D influenzae,True,24,11,1,3,6,1,3,2,3,2,1,2,0
3300007825_2|3300007825.a:Ga0105914_100002,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D influenzae,True,10,0,2,0,3,0,2,0,2,0,2,0,0
3300007826_1|3300007826.a:Ga0105915_10002,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,55,5,4,5,10,0,2,1,2,2,4,2,0
3300007826_1|3300007826.a:Ga0105915_10017,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,7,0,3,0,0,0,3,0,3,0,3,0,0
3300007838_1|3300007838.a:Ga0105973_10003,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,24,0,5,3,0,0,0,1,0,0,5,0,0
3300007838_1|3300007838.a:Ga0105973_10013,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,11,0,0,4,0,0,2,1,2,2,0,0,0
3300007838_1|3300007838.a:Ga0105973_10014,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,16,5,1,0,5,3,0,0,0,0,1,2,0
3300007838_1|3300007838.a:Ga0105973_10028,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,7,0,3,0,0,0,3,0,3,0,3,0,0
3300007853_11|3300007853.a:Ga0114093_100067,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis,True,62,0,6,2,3,1,0,1,0,4,6,0,0
3300007853_13|3300007853.a:Ga0114093_100281,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,84,5,7,3,5,2,0,0,0,5,7,0,0
3300007853_13|3300007853.a:Ga0114093_100840,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,13,0,0,0,0,0,1,2,1,0,0,0,0
3300007853_13|3300007853.a:Ga0114093_101053,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,7,0,2,3,0,1,0,1,0,0,2,0,0
3300007855_1|3300007855.a:Ga0113870_100034,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis,True,8,0,2,2,0,0,0,1,0,0,2,0,0
3300007859_1|3300007859.a:Ga0114318_10005,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae_C,True,23,0,1,4,1,0,4,1,4,2,1,1,0
3300007874_1|3300007874.a:Ga0111086_10001,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri,True,31,8,3,5,6,4,1,2,1,3,3,3,0
3300007903_1|3300007903.a:Ga0111057_1010,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii_A,True,6,0,3,0,0,0,3,0,3,0,3,0,0
3300007915_3|3300007915.a:Ga0111495_100001,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,True,45,10,5,4,6,4,1,1,1,4,5,3,0
3300007916_1|3300007916.a:Ga0111543_10002,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,51,5,4,6,10,0,2,0,2,1,4,2,0
3300007916_1|3300007916.a:Ga0111543_10027,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,7,0,3,0,0,0,3,0,3,0,3,0,0
3300007919_1|3300007919.a:Ga0111558_100002,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D influenzae,True,26,11,2,2,7,2,2,2,2,2,2,3,0
3300007921_8|3300007921.a:Ga0111562_100103,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,True,38,2,3,1,2,2,0,0,0,2,3,1,0
3300007929_1|3300007929.a:Ga0113879_10019,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,True,7,0,3,0,0,0,3,0,3,0,3,0,0
3300007940_6|3300007940.a:Ga0114257_100091,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__,True,30,4,2,1,5,1,1,2,1,2,2,2,0
3300007940_7|3300007940.a:Ga0114257_100099,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,True,23,8,0,3,0,1,2,0,2,4,0,1,0
3300007940_7|3300007940.a:Ga0114257_100263,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,True,8,0,0,0,0,0,2,0,2,0,0,0,0
3300007940_7|3300007940.a:Ga0114257_100385,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,True,27,0,3,0,0,0,0,1,0,1,3,0,0
3300007949_2|3300007949.a:Ga0114314_100003,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis,True,31,5,9,6,5,2,1,1,1,3,9,5,0
3300007949_3|3300007949.a:Ga0114314_100007,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__,True,77,7,6,2,6,1,1,1,1,2,6,3,0
3300007966_12|3300007966.a:Ga0105959_100005,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__,True,14,0,1,0,3,0,1,0,1,0,1,0,0
3300007966_8|3300007966.a:Ga0105959_100332,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__Stomatobaculum longum,True,17,0,7,2,4,0,0,0,0,2,7,0,0
3300007966_8|3300007966.a:Ga0105959_100807,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__Stomatobaculum longum,True,15,7,0,0,1,1,0,0,0,0,0,2,0
3300007968_6|3300007968.a:Ga0105969_100051,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__;s__,True,54,1,2,0,3,0,0,0,0,1,2,0,0
3300007969_9|3300007969.a:Ga0114312_100092,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__Ruminococcus_E bromii,True,47,1,2,5,8,2,0,2,0,2,2,2,0
3300007969_9|3300007969.a:Ga0114312_100132,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__Ruminococcus_E bromii,True,50,0,12,1,2,1,0,1,0,4,12,0,0
3300007975_1|3300007975.a:Ga0114169_100013,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei,True,97,1,9,5,4,2,1,1,1,2,9,0,0
3300007975_2|3300007975.a:Ga0114169_100034,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,True,15,0,0,0,0,1,0,1,0,1,0,0,0
3300007976_17|3300007976.a:Ga0114368_100011,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__,True,39,2,5,3,6,2,0,1,0,4,5,2,0
3300007976_17|3300007976.a:Ga0114368_100102,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__,True,29,3,6,1,7,1,0,0,0,0,6,2,0
3300007976_18|3300007976.a:Ga0114368_100149,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__;s__,True,58,2,4,3,5,1,1,1,1,2,4,0,0
3300007977_10|3300007977.a:Ga0111542_100126,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,True,11,8,0,0,4,3,0,0,0,0,0,3,0
3300007978_9|3300007978.a:Ga0111424_100073,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__,True,17,3,0,0,3,1,0,0,0,0,0,2,0
3300007991_14|3300007991.a:Ga0105643_100322,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,49,3,6,2,5,2,1,3,1,1,6,2,0
3300007991_17|3300007991.a:Ga0105643_100126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,14,0,2,1,1,0,0,0,0,0,2,0,0
3300007991_17|3300007991.a:Ga0105643_100214,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,59,0,3,4,3,0,2,1,2,1,3,0,0
3300007991_17|3300007991.a:Ga0105643_100373,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,12,9,0,0,6,1,1,0,1,2,0,4,0
3300007991_17|3300007991.a:Ga0105643_100538,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,42,6,2,2,5,2,0,2,0,2,2,2,0
3300007991_29|3300007991.a:Ga0105643_100004,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-475;s__GCA_000434435.1,True,10,0,0,0,5,0,0,0,0,0,0,0,0
3300007993_5|3300007993.a:Ga0113877_100001,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D parainfluenzae,True,25,13,3,2,5,3,1,1,1,2,3,4,0
3300007996_13|3300007996.a:Ga0111052_100049,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__,True,33,3,4,3,6,2,0,2,0,0,4,4,0
3300007996_16|3300007996.a:Ga0111052_100007,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium;s__,True,40,0,2,2,6,2,0,1,0,3,2,0,0
3300007996_9|3300007996.a:Ga0111052_100094,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,True,17,8,2,1,4,3,0,0,0,0,2,3,0
3300007997_13|3300007997.a:Ga0111053_100029,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp1,True,35,3,5,0,4,1,0,0,0,3,5,3,0
3300008057_1|3300008057.a:Ga0114096_100001,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D influenzae,True,10,0,2,0,3,0,2,0,2,0,2,0,0
3300008058_10|3300008058.a:Ga0114167_100052,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,14,0,0,1,0,0,1,1,1,0,0,0,0
3300008058_10|3300008058.a:Ga0114167_100081,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,57,2,2,4,8,1,3,3,3,2,2,1,0
3300008058_10|3300008058.a:Ga0114167_101000,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,11,0,1,0,0,0,0,1,0,0,1,0,0
3300008058_11|3300008058.a:Ga0114167_100101,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,42,4,2,1,0,1,0,0,0,1,2,0,0
3300008058_11|3300008058.a:Ga0114167_100221,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,36,4,3,3,5,0,1,1,1,0,3,2,0
3300008058_11|3300008058.a:Ga0114167_100266,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,8,0,4,4,0,0,0,1,0,0,4,0,0
3300008058_13|3300008058.a:Ga0114167_100111,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,True,81,2,3,1,2,2,0,1,0,1,3,1,0
3300008060_10|3300008060.a:Ga0114177_100214,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,27,0,2,1,1,0,0,0,0,0,2,0,0
3300008060_10|3300008060.a:Ga0114177_100580,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,20,0,1,0,0,0,2,1,2,0,1,0,0
3300008060_10|3300008060.a:Ga0114177_101265,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,6,0,0,0,2,0,0,0,0,0,0,0,0
3300008060_7|3300008060.a:Ga0114177_100319,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,True,7,0,3,0,0,0,1,0,1,0,3,0,0
3300008061_2|3300008061.a:Ga0111056_100003,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D influenzae,True,26,11,2,2,7,2,2,2,2,2,2,3,0
3300008063_12|3300008063.a:Ga0113867_100168,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila,True,36,1,0,1,3,0,0,0,0,1,0,0,0
3300008063_13|3300008063.a:Ga0113867_100145,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,50,5,5,5,7,0,2,1,2,1,5,2,0
3300008063_13|3300008063.a:Ga0113867_100398,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,29,0,0,0,0,0,3,0,3,2,0,0,0
3300008063_13|3300008063.a:Ga0113867_101162,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,14,0,0,1,0,0,1,1,1,0,0,0,0
3300008063_15|3300008063.a:Ga0113867_100034,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,True,27,1,1,0,3,1,0,0,0,1,1,2,0
3300008063_20|3300008063.a:Ga0113867_100254,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__GCA_001916835.1,True,51,13,7,1,9,1,0,1,0,0,7,3,0
3300008063_20|3300008063.a:Ga0113867_100327,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__GCA_001916835.1,True,18,4,0,0,5,2,0,0,0,0,0,0,0
3300008063_20|3300008063.a:Ga0113867_100356,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__GCA_001916835.1,True,50,1,4,4,6,3,2,1,2,0,4,2,0
3300008063_20|3300008063.a:Ga0113867_100766,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__GCA_001916835.1,True,6,0,0,1,0,2,0,1,0,0,0,0,0
3300008063_22|3300008063.a:Ga0113867_100215,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__,True,12,4,1,0,4,0,0,0,0,0,1,0,0
3300008063_22|3300008063.a:Ga0113867_100271,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__,True,22,0,2,0,2,0,1,0,1,0,2,0,0
3300008063_22|3300008063.a:Ga0113867_100434,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__,True,48,1,0,3,8,2,1,2,1,2,0,2,0
3300008063_22|3300008063.a:Ga0113867_100579,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E;s__,True,24,0,0,0,4,2,0,0,0,1,0,0,0
3300008063_28|3300008063.a:Ga0113867_100614,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__GCA_000433195.1,True,39,7,9,2,5,3,0,0,0,0,9,0,0
3300008077_12|3300008077.a:Ga0105964_1000322,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,38,2,6,2,6,1,0,1,0,0,6,2,0
3300008077_12|3300008077.a:Ga0105964_1000330,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,29,1,0,4,8,0,1,2,1,1,0,1,0
3300008077_12|3300008077.a:Ga0105964_1000692,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans,True,18,0,1,1,0,0,0,1,0,0,1,0,0
3300008077_14|3300008077.a:Ga0105964_1000311,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,True,16,3,6,3,7,0,1,0,1,1,6,3,0
3300008077_14|3300008077.a:Ga0105964_1000625,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,True,19,7,0,0,0,2,0,1,0,0,0,0,0
3300008077_17|3300008077.a:Ga0105964_1000443,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus,True,21,5,4,0,4,1,0,0,0,0,4,2,0
3300008077_22|3300008077.a:Ga0105964_1000135,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,29,0,4,0,0,0,2,2,2,5,4,0,0
3300008077_24|3300008077.a:Ga0105964_1000127,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,28,6,1,1,6,0,1,2,1,2,1,2,0
3300008077_24|3300008077.a:Ga0105964_1000674,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,24,1,1,0,2,1,0,0,0,4,1,1,0
3300008077_24|3300008077.a:Ga0105964_1000854,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,16,0,2,1,1,0,0,0,0,0,2,0,0
3300008077_24|3300008077.a:Ga0105964_1001667,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,14,0,1,0,0,0,2,1,2,0,1,0,0
3300008079_10|3300008079.a:Ga0105956_100266,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis,True,45,0,5,5,1,1,1,0,1,6,5,0,0
3300008079_11|3300008079.a:Ga0105956_100023,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__GCA_000434935.1,True,111,5,10,1,4,1,4,2,4,3,10,2,0
3300008079_12|3300008079.a:Ga0105956_100026,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,40,3,3,1,5,2,1,0,1,0,3,2,0
3300008081_11|3300008081.a:Ga0113559_100372,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A,True,20,0,0,0,1,0,0,1,0,0,0,0,0
3300008081_11|3300008081.a:Ga0113559_100730,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A,True,21,0,2,3,2,0,3,1,3,0,2,0,0
3300008081_16|3300008081.a:Ga0113559_100205,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,True,49,3,3,2,5,2,2,2,2,0,3,2,0
3300008081_21|3300008081.a:Ga0113559_100142,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,41,1,6,0,3,0,3,1,3,6,6,0,0
3300008081_21|3300008081.a:Ga0113559_100397,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,10,0,2,0,1,0,4,1,4,1,2,0,0
3300008081_21|3300008081.a:Ga0113559_100434,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,14,0,2,1,1,0,0,0,0,0,2,0,0
3300008081_21|3300008081.a:Ga0113559_100483,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,14,0,1,0,0,0,2,1,2,0,1,0,0
3300008081_21|3300008081.a:Ga0113559_100636,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,24,3,1,0,1,0,0,0,0,0,1,0,0
3300008081_21|3300008081.a:Ga0113559_100719,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,True,20,1,1,0,2,1,0,0,0,2,1,1,0
3300008083_12|3300008083.a:Ga0105970_100003,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__;s__,True,40,1,1,0,3,0,0,0,0,0,1,0,0
3300008083_12|3300008083.a:Ga0105970_100025,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__;s__,True,44,2,2,1,5,2,1,1,1,1,2,0,0
3300008083_5|3300008083.a:Ga0105970_100292,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium matruchotii,True,14,5,1,0,6,3,0,0,0,0,1,3,0
